,Predictions
0,1
1,1
2,1
3,1
4,2
5,1
6,1
7,2
8,1
9,2
10,1
11,1
12,1
13,2
14,2
15,1
16,2
17,1
18,2
19,0
20,1
21,1
22,2
23,2
24,1
25,0
26,1
27,2
28,2
29,1
30,1
31,2
32,1
33,1
34,2
35,2
36,2
37,1
38,0
39,2
40,1
41,1
42,1
43,2
44,1
45,1
46,2
47,1
48,1
49,2
50,0
51,1
52,2
53,2
54,2
55,2
56,2
57,0
58,1
59,1
60,1
61,1
62,2
63,2
64,1
65,0
66,1
67,1
68,1
69,2
70,1
71,1
72,1
73,2
74,2
75,2
76,2
77,2
78,2
79,1
80,1
81,2
82,0
83,0
84,1
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,1
100,2
101,0
102,1
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,0
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,0
130,2
131,2
132,2
133,2
134,2
135,2
136,0
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,0
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,1
157,2
158,2
159,2
160,2
161,2
162,1
163,0
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,1
176,2
177,2
178,2
179,0
180,2
181,1
182,1
183,2
184,2
185,2
186,2
187,2
188,1
189,2
190,2
191,1
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,0
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,1
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,1
222,2
223,2
224,2
225,2
226,1
227,2
228,2
229,1
230,2
231,1
232,1
233,1
234,2
235,2
236,1
237,1
238,2
239,2
240,2
241,1
242,2
243,2
244,2
245,2
246,2
247,2
248,1
249,2
250,1
251,1
252,2
253,2
254,2
255,0
256,1
257,2
258,1
259,1
260,2
261,2
262,2
263,2
264,2
265,1
266,1
267,1
268,2
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,2
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,2
289,0
290,2
291,1
292,0
293,2
294,1
295,0
296,2
297,0
298,2
299,0
300,1
301,1
302,2
303,1
304,1
305,2
306,2
307,0
308,1
309,2
310,0
311,1
312,2
313,1
314,2
315,1
316,1
317,1
318,1
319,1
320,2
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,2
330,2
331,1
332,1
333,1
334,1
335,1
336,2
337,2
338,2
339,2
340,2
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,2
349,2
350,1
351,2
352,2
353,2
354,0
355,2
356,2
357,0
358,2
359,1
360,2
361,2
362,2
363,2
364,0
365,0
366,1
367,0
368,2
369,1
370,0
371,1
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,1
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,1
392,2
393,2
394,2
395,2
396,2
397,1
398,2
399,2
400,1
401,2
402,0
403,2
404,2
405,2
406,2
407,1
408,2
409,1
410,1
411,1
412,2
413,2
414,2
415,2
416,1
417,2
418,2
419,2
420,1
421,2
422,2
423,2
424,2
425,1
426,1
427,2
428,2
429,2
430,2
431,1
432,2
433,1
434,2
435,1
436,1
437,2
438,1
439,1
440,2
441,2
442,1
443,1
444,1
445,2
446,1
447,1
448,1
449,1
450,2
451,1
452,2
453,2
454,1
455,1
456,2
457,1
458,2
459,1
460,1
461,1
462,1
463,1
464,2
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,2
473,2
474,2
475,2
476,1
477,2
478,0
479,1
480,1
481,1
482,2
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,2
493,2
494,1
495,1
496,2
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,2
505,1
506,0
507,1
508,1
509,1
510,2
511,2
512,0
513,1
514,2
515,0
516,1
517,2
518,2
519,0
520,0
521,1
522,1
523,1
524,0
525,0
526,2
527,1
528,1
529,0
530,2
531,2
532,2
533,2
534,0
535,2
536,2
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,2
545,2
546,2
547,1
548,0
549,1
550,2
551,2
552,2
553,2
554,2
555,0
556,2
557,1
558,2
559,2
560,2
561,0
562,1
563,2
564,0
565,1
566,0
567,2
568,2
569,0
570,2
571,2
572,2
573,0
574,0
575,2
576,2
577,1
578,1
579,2
580,2
581,2
582,2
583,0
584,0
585,0
586,1
587,2
588,1
589,1
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,1
599,2
600,2
601,1
602,0
603,0
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,0
612,0
613,0
614,1
615,2
616,2
617,2
618,2
619,1
620,2
621,1
622,2
623,2
624,2
625,2
626,2
627,1
628,2
629,2
630,0
631,2
632,2
633,2
634,0
635,1
636,1
637,1
638,1
639,1
640,2
641,2
642,2
643,2
644,0
645,0
646,2
647,2
648,2
649,0
650,2
651,1
652,1
653,1
654,1
655,1
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,1
666,2
667,2
668,0
669,1
670,1
671,1
672,1
673,1
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,0
682,0
683,0
684,1
685,2
686,0
687,2
688,0
689,1
690,2
691,2
692,2
693,0
694,2
695,2
696,1
697,1
698,2
699,2
700,2
701,2
702,0
703,2
704,1
705,2
706,1
707,1
708,1
709,1
710,2
711,2
712,2
713,2
714,2
715,2
716,0
717,2
718,0
719,0
720,1
721,2
722,2
723,2
724,2
725,1
726,1
727,1
728,1
729,1
730,2
731,1
732,1
733,2
734,2
735,2
736,0
737,0
738,2
739,2
740,1
741,2
742,1
743,1
744,2
745,2
746,0
747,2
748,2
749,2
750,0
751,2
752,2
753,2
754,1
755,1
756,2
757,1
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,1
767,2
768,2
769,2
770,1
771,2
772,1
773,2
774,1
775,1
776,2
777,2
778,2
779,2
780,2
781,1
782,2
783,2
784,2
785,2
786,1
787,1
788,2
789,1
790,0
791,1
792,2
793,2
794,2
795,2
796,2
797,2
798,1
799,2
800,2
801,0
802,1
803,1
804,2
805,1
806,1
807,1
808,2
809,1
810,1
811,2
